"Date",Production
2019-01-01,325
2019-01-02,361
2019-01-03,337
2019-01-04,334
2019-01-05,311
2019-01-06,355
2019-01-07,362
2019-01-08,341
2019-01-09,343
2019-01-10,356
2019-01-11,356
2019-01-12,288
2019-01-13,342
2019-01-14,354
2019-01-15,337
2019-01-16,344
2019-01-17,355
2019-01-18,356
2019-01-19,271
2019-01-20,293
2019-01-21,344
2019-01-22,337
2019-01-23,344
2019-01-24,356
2019-01-25,357
2019-01-26,289
2019-01-27,344
2019-01-28,355
2019-01-29,338
2019-01-30,344
2019-01-31,356
2019-02-01,357
2019-02-02,273
2019-02-03,311
2019-02-04,355
2019-02-05,337
2019-02-06,344
2019-02-07,356
2019-02-08,357
2019-02-09,287
2019-02-10,344
2019-02-11,354
2019-02-12,337
2019-02-13,348
2019-02-14,368
2019-02-15,370
2019-02-16,296
2019-02-17,320
2019-02-18,364
2019-02-19,355
2019-02-20,360
2019-02-21,369
2019-02-22,370
2019-02-23,318
2019-02-24,360
2019-02-25,372
2019-02-26,353
2019-02-27,357
2019-02-28,368
2019-03-01,364
2019-03-02,320
2019-03-03,373
2019-03-04,376
2019-03-05,362
2019-03-06,369
2019-03-07,377
2019-03-08,377
2019-03-09,319
2019-03-10,373
2019-03-11,377
2019-03-12,362
2019-03-13,370
2019-03-14,378
2019-03-15,378
2019-03-16,321
2019-03-17,374
2019-03-18,378
2019-03-19,363
2019-03-20,370
2019-03-21,370
2019-03-22,370
2019-03-23,314
2019-03-24,366
2019-03-25,370
2019-03-26,356
2019-03-27,362
2019-03-28,371
2019-03-29,370
2019-03-30,315
2019-03-31,365
2019-04-01,368
2019-04-02,352
2019-04-03,355
2019-04-04,364
2019-04-05,366
2019-04-06,313
2019-04-07,363
2019-04-08,364
2019-04-09,350
2019-04-10,359
2019-04-11,365
2019-04-12,366
2019-04-13,314
2019-04-14,363
2019-04-15,366
2019-04-16,352
2019-04-17,360
2019-04-18,367
2019-04-19,367
2019-04-20,305
2019-04-21,346
2019-04-22,366
2019-04-23,352
2019-04-24,358
2019-04-25,368
2019-04-26,368
2019-04-27,316
2019-04-28,367
2019-04-29,367
2019-04-30,350
2019-05-01,358
2019-05-02,374
2019-05-03,363
2019-05-04,308
2019-05-05,366
2019-05-06,365
2019-05-07,347
2019-05-08,355
2019-05-09,369
2019-05-10,369
2019-05-11,292
2019-05-12,334
2019-05-13,367
2019-05-14,349
2019-05-15,357
2019-05-16,368
2019-05-17,371
2019-05-18,310
2019-05-19,368
2019-05-20,368
2019-05-21,349
2019-05-22,359
2019-05-23,371
2019-05-24,371
2019-05-25,290
2019-05-26,311
2019-05-27,361
2019-05-28,354
2019-05-29,357
2019-05-30,369
2019-05-31,370
2019-06-01,310
2019-06-02,369
2019-06-03,368
2019-06-04,349
2019-06-05,357
2019-06-06,366
2019-06-07,367
2019-06-08,319
2019-06-09,369
2019-06-10,369
2019-06-11,358
2019-06-12,360
2019-06-13,369
2019-06-14,370
2019-06-15,337
2019-06-16,369
2019-06-17,369
2019-06-18,366
2019-06-19,366
2019-06-20,370
2019-06-21,371
2019-06-22,334
2019-06-23,369
2019-06-24,370
2019-06-25,366
2019-06-26,366
2019-06-27,372
2019-06-28,372
2019-06-29,331
2019-06-30,342
2019-07-01,331
2019-07-02,327
2019-07-03,334
2019-07-04,303
2019-07-05,307
2019-07-06,341
2019-07-07,369
2019-07-08,369
2019-07-09,367
2019-07-10,366
2019-07-11,370
2019-07-12,370
2019-07-13,338
2019-07-14,369
2019-07-15,369
2019-07-16,366
2019-07-17,366
2019-07-18,370
2019-07-19,370
2019-07-20,338
2019-07-21,369
2019-07-22,369
2019-07-23,367
2019-07-24,367
2019-07-25,370
2019-07-26,370
2019-07-27,338
2019-07-28,369
2019-07-29,369
2019-07-30,367
2019-07-31,367
2019-08-01,369
2019-08-02,369
2019-08-03,337
2019-08-04,368
2019-08-05,368
2019-08-06,366
2019-08-07,366
2019-08-08,369
2019-08-09,369
2019-08-10,337
2019-08-11,368
2019-08-12,368
2019-08-13,366
2019-08-14,366
2019-08-15,368
2019-08-16,368
2019-08-17,332
2019-08-18,366
2019-08-19,367
2019-08-20,363
2019-08-21,364
2019-08-22,368
2019-08-23,366
2019-08-24,332
2019-08-25,366
2019-08-26,368
2019-08-27,362
2019-08-28,364
2019-08-29,368
2019-08-30,368
2019-08-31,299
2019-09-01,303
2019-09-02,330
2019-09-03,326
2019-09-04,325
2019-09-05,333
2019-09-06,332
2019-09-07,293
2019-09-08,355
2019-09-09,361
2019-09-10,342
2019-09-11,346
2019-09-12,364
2019-09-13,362
2019-09-14,307
2019-09-15,357
2019-09-16,361
2019-09-17,344
2019-09-18,348
2019-09-19,362
2019-09-20,361
2019-09-21,306
2019-09-22,356
2019-09-23,361
2019-09-24,341
2019-09-25,347
2019-09-26,362
2019-09-27,362
2019-09-28,306
2019-09-29,354
2019-09-30,362
2019-10-01,344
2019-10-02,348
2019-10-03,364
2019-10-04,363
2019-10-05,304
2019-10-06,355
2019-10-07,362
2019-10-08,343
2019-10-09,347
2019-10-10,364
2019-10-11,363
2019-10-12,304
2019-10-13,357
2019-10-14,363
2019-10-15,346
2019-10-16,347
2019-10-17,361
2019-10-18,359
2019-10-19,301
2019-10-20,354
2019-10-21,361
2019-10-22,343
2019-10-23,347
2019-10-24,359
2019-10-25,357
2019-10-26,283
2019-10-27,324
2019-10-28,314
2019-10-29,308
2019-10-30,309
2019-10-31,294
2019-11-01,306
2019-11-02,280
2019-11-03,333
2019-11-04,350
2019-11-05,317
2019-11-06,327
2019-11-07,354
2019-11-08,354
2019-11-09,295
2019-11-10,345
2019-11-11,354
2019-11-12,342
2019-11-13,344
2019-11-14,353
2019-11-15,356
2019-11-16,298
2019-11-17,347
2019-11-18,354
2019-11-19,343
2019-11-20,344
2019-11-21,362
2019-11-22,364
2019-11-23,306
2019-11-24,344
2019-11-25,329
2019-11-26,343
2019-11-27,357
2019-11-28,242
2019-11-29,263
2019-11-30,353
2019-12-01,378
2019-12-02,366
2019-12-03,345
2019-12-04,330
2019-12-05,345
2019-12-06,346
2019-12-07,286
2019-12-08,342
2019-12-09,345
2019-12-10,335
2019-12-11,335
2019-12-12,347
2019-12-13,347
2019-12-14,290
2019-12-15,343
2019-12-16,345
2019-12-17,339
2019-12-18,347
2019-12-19,354
2019-12-20,359
2019-12-21,339
2019-12-22,348
2019-12-23,351
2019-12-24,287
2019-12-25,293
2019-12-26,346
2019-12-27,348
2019-12-28,336
2019-12-29,346
2019-12-30,347
2019-12-31,285
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
